                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66591,                0.39519,                 1.0092,                 0.9884,                0.99871,                0.99489,                0.86512,                0.61793,                0.28436,                0.98399,             0.00029515,             0.00029515,             0.00029515
                     37,                0.65721,                0.39186,                 1.0068,                0.99039,                0.99781,                0.99495,                0.85872,                0.60819,                0.28427,                0.98411,             0.00029338,             0.00029338,             0.00029338
                     38,                 0.6645,                0.39016,                 1.0097,                 0.9903,                 0.9984,                0.99341,                0.85551,                0.61772,                0.28088,                0.98718,             0.00029162,             0.00029162,             0.00029162
                     39,                0.66987,                0.39421,                 1.0093,                 0.9928,                      1,                  0.995,                0.85628,                0.61082,                0.28028,                0.99328,             0.00028985,             0.00028985,             0.00028985
                     40,                0.64477,                0.38256,                  1.001,                0.98441,                0.99815,                  0.995,                0.86007,                0.61777,                 0.2739,                0.98439,             0.00028808,             0.00028808,             0.00028808
                     41,                 0.6653,                0.38321,                      1,                0.99393,                0.99867,                  0.995,                0.86173,                0.61838,                 0.2788,                0.99577,             0.00028631,             0.00028631,             0.00028631
                     42,                0.66265,                 0.3858,                 1.0055,                0.98891,                 0.9984,                0.99448,                0.85316,                0.63599,                0.27508,                 1.0144,             0.00028455,             0.00028455,             0.00028455
                     43,                0.65617,                0.37975,                  1.009,                0.97968,                 0.9984,                0.99412,                0.86525,                0.60442,                 0.2727,                0.97952,             0.00028278,             0.00028278,             0.00028278
                     44,                0.64667,                0.38396,                  1.003,                0.98854,                0.99634,                0.99407,                0.86599,                0.58733,                 0.2598,                0.96982,             0.00028101,             0.00028101,             0.00028101
                     45,                0.65993,                0.38334,                 1.0047,                0.99089,                      1,                  0.995,                0.86484,                0.58532,                0.26036,                0.96525,             0.00027925,             0.00027925,             0.00027925
                     46,                0.65374,                0.37968,                 0.9989,                0.99029,                 0.9984,                0.99471,                0.85817,                0.61671,                0.26978,                0.98493,             0.00027748,             0.00027748,             0.00027748
                     47,                0.65431,                0.37199,                 1.0051,                0.98964,                0.99066,                0.99491,                0.86571,                0.60849,                0.27536,                 0.9846,             0.00027571,             0.00027571,             0.00027571
                     48,                0.65085,                0.37373,                0.99972,                0.99151,                0.99323,                0.99483,                0.87031,                0.60759,                0.26699,                0.98169,             0.00027394,             0.00027394,             0.00027394
                     49,                0.64515,                0.37373,                 1.0016,                0.99478,                0.98933,                0.99495,                0.86978,                0.59508,                0.26045,                0.96907,             0.00027218,             0.00027218,             0.00027218
                     50,                0.65109,                0.36919,                0.99946,                0.98935,                0.99757,                0.99495,                0.86759,                0.59576,                0.27896,                0.97965,             0.00027041,             0.00027041,             0.00027041
                     51,                0.65282,                0.36683,                0.99914,                0.99069,                 0.9984,                0.99446,                  0.862,                0.60577,                 0.2722,                0.98266,             0.00026864,             0.00026864,             0.00026864
                     52,                0.64176,                0.37333,                 1.0048,                0.99034,                0.99293,                  0.995,                0.86587,                0.60227,                0.27346,                0.98504,             0.00026688,             0.00026688,             0.00026688
