                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59649,                 0.3534,                0.92689,                0.98364,                0.99829,                  0.995,                 0.8682,                0.64164,                0.27728,                0.95509,              0.0001096,              0.0001096,              0.0001096
                     37,                 0.5992,                0.35225,                0.93118,                0.98304,                      1,                  0.995,                0.86923,                0.62925,                0.27653,                 0.9529,             0.00010253,             0.00010253,             0.00010253
                     38,                0.60949,                0.35569,                0.93684,                0.97263,                      1,                  0.995,                0.87432,                0.62939,                0.27195,                0.94902,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     39,                0.58061,                0.33824,                  0.924,                0.98309,                      1,                  0.995,                0.87385,                0.64446,                0.27764,                0.95102,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     40,                0.58236,                0.33179,                0.93105,                0.98017,                0.99875,                  0.995,                  0.867,                0.66096,                0.27799,                0.96742,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     41,                0.53609,                0.27506,                0.88852,                0.97747,                0.99633,                  0.995,                0.87565,                0.64502,                0.27837,                0.94934,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     42,                0.53802,                0.27246,                 0.9026,                0.98598,                0.99925,                  0.995,                0.87046,                0.62767,                0.27294,                0.94347,             6.7187e-05,             6.7187e-05,             6.7187e-05
                     43,                0.52374,                0.26715,                0.89195,                0.98396,                0.99704,                  0.995,                0.86728,                0.64872,                0.28011,                0.95431,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     44,                0.51616,                0.26319,                0.89552,                0.98693,                0.99912,                  0.995,                0.86301,                0.64988,                0.28027,                0.95189,              5.305e-05,              5.305e-05,              5.305e-05
                     45,                0.51839,                0.25781,                0.88454,                0.98771,                      1,                  0.995,                0.86754,                 0.6371,                0.27781,                0.94613,             4.5982e-05,             4.5982e-05,             4.5982e-05
                     46,                0.51787,                0.25903,                 0.8792,                0.98859,                0.99906,                  0.995,                 0.8741,                0.63169,                0.27204,                0.94275,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     47,                0.51132,                0.25435,                0.88736,                0.98719,                 0.9977,                  0.995,                0.87008,                0.63069,                0.27048,                0.94213,             3.1844e-05,             3.1844e-05,             3.1844e-05
                     48,                0.50687,                0.24774,                0.87827,                0.98632,                0.99848,                  0.995,                0.87035,                0.62803,                 0.2654,                0.94147,             2.4776e-05,             2.4776e-05,             2.4776e-05
                     49,                0.49537,                0.24849,                0.87473,                0.98564,                      1,                  0.995,                 0.8694,                0.63357,                0.26551,                0.94759,             1.7707e-05,             1.7707e-05,             1.7707e-05
                     50,                0.50652,                0.24819,                0.88586,                0.98691,                0.99908,                  0.995,                 0.8692,                0.62691,                0.26421,                0.94549,             1.0639e-05,             1.0639e-05,             1.0639e-05
